Company Code,Month year,Product Group 2 Code,Product Group 3 Code,Product Group 4 Code,Plant Code,Channel Description,FM 01_Invoices Revenue,FM 07_Gross Profit,Product Group 2 Name,Product Group 3 Name,Product Group 4 Name,GL Account Code
1000,Jan 2024,PC,PCS,PCS00,1541,Retail,2540000,,LOẠI KHÁC,SERVICE,SERVICE,0051131000
1000,Jan 2024,PC,PCS,PCS00,1548,Retail,3346654,,LOẠI KHÁC,SERVICE,SERVICE,0051131000
1000,Jan 2024,PC,PCS,PCS00,1548,Retail,1476400,,LOẠI KHÁC,SERVICE,SERVICE,0051131001
1000,Jan 2024,PC,PCS,PCS00,1555,Retail,1290000,,LOẠI KHÁC,SERVICE,SERVICE,0051131000
1000,Jan 2024,PC,PCS,PCS00,1558,Online,44818,,LOẠI KHÁC,SERVICE,SERVICE,0051131001
1000,Jan 2024,PC,PCS,PCS00,1558,Retail,2450201,,LOẠI KHÁC,SERVICE,SERVICE,0051131000
1000,Jan 2024,PC,PCS,PCS00,1558,Retail,-7727,,LOẠI KHÁC,SERVICE,SERVICE,0051141000
1000,Jan 2024,PC,PCS,PCS00,1565,Retail,354546,,LOẠI KHÁC,SERVICE,SERVICE,0051131000
1000,Jan 2024,PC,PCS,PCS00,1575,Online,205909,,LOẠI KHÁC,SERVICE,SERVICE,0051131001
1000,Jan 2024,PC,PCS,PCS00,1575,Retail,1390000,,LOẠI KHÁC,SERVICE,SERVICE,0051131000
1000,Jan 2024,PC,PCS,PCS00,1575,Retail,136880,34220,LOẠI KHÁC,SERVICE,SERVICE,0051141000
1000,Jan 2024,PC,PCS,PCS00,1579,Online,162750,,LOẠI KHÁC,SERVICE,SERVICE,0051141000
1000,Jan 2024,PC,PCS,PCS00,1579,Retail,1089920,,LOẠI KHÁC,SERVICE,SERVICE,0051131000
1000,Jan 2024,PC,PCS,PCS00,1579,Retail,749036,,LOẠI KHÁC,SERVICE,SERVICE,0051141000
1000,Jan 2024,PC,PCS,PCS00,1596,Online,138944,,LOẠI KHÁC,SERVICE,SERVICE,0051131001
